,content
0,It's fine!
1,Not too sure what's happened but the Android app keeps crashing instantly. Never been this bad before but wow is this annoying
2,"It's a nightmare. Just remember once you subscribe that you pay for this buggy, horrendous, piece of s***. No queueing of videos, constant crashing, almost no possibility of discovering new channels. It's just a total nightmare."
3,I would love to use this app but it's a horrible experience. I follow many of the creators who are on here and so I support them here but the app is a much worse experience than just watching on YouTube.
4,"Just started using this app. It's mostly ok and I was surprised the score is as low as it is. But I can't stand how slow it is to add something to watch later. When you press the menu item, that should just be instantaneous, but instead you have to wait until it gets saved or something for the menu to go away. Probably is just the first indication of lack of polish so we will see, but it gets very frustrating"
5,too much bias
6,"I love the content on this app and the mission statement of the company, focusing on the creative freedom of excellent creators, but the Android app has a slew of bugs and technical issues that are difficult to overlook. I understand that Nebula is a fairly new, small and niche company but the failings of the video player on this app are pretty severe and I hope they're able to find a way to fix it. The app works much better on Smart TV in my experience"
7,"nebula the service itself is phenomenal, and such good value for the money. BUT the app is borderline nonfunctional. it crashes, it's difficult to find a video you were watching to resume, it's conveluded to get to a creator page, saving a video to watch later does work but looks like it doesn't, videos restart from the beginning of you cast it to a TV halfway through. just a mess. app gets ⭐ nebula itself gets ⭐⭐⭐⭐⭐, averaged out to 3"
8,App is slow. Not enough content and creators to justify prce.
9,Love the creators and content but the app is just plain bad. Was just using it for listening to Jetlag's podcast but whenever you use it for the podcasts with Bluetooth it will just randomly pause what you're listening to for no clear reason and you hit play it will start back where it paused other times it will just not play again and you'll have to restart the app losing your place in the podcast. Never used it for video personally. Go listen/watch on Desktop instead
10,Good Content App is not stable
11,"A very interesting alternative to YT, aimed at being a better environment for creators and at being focused on quality and intellectual content. I personally don't have complaints about the app."
12,"Why are YOU picking my ""My videos""? I can't clear them. I don't even like ""my"" picks. I don't like being led around like a cow. UNINSTALL."
13,My downloads never finish and app buffers a lot.
14,App says I don't have a subscription. I do. Can't play anything.
15,"Love the content, hate the app. Crashes half the time and podcasts don't even have speed settings."
16,The service provided by the app is good. However key functionalities don't work. Playing a video with the screen locked results in the video stopping after about 5 minutes despite this problem being listed as fixed in recent updates. The app is unresponsive when adding or removing videos from the watch later playlist. Also no ability to create your own playlists. The search function is poor and appears be case sensitive. There are many other issues but im out of characters. Use browser instead
17,"The app has seen some improvement since I last used it it. However, there's still a lot that needs to be better. I just had a big where the video plays with audio, but the video itself is not visible and the UI is a mess. When there's a video playing while browsing, the page does not scroll enough to show the bottom of the list (as the video that's playing obscures it). Also, the UI is a bit unresponsive when adding videos to Watch Later."
18,Videos pause randomly like there's no internet connection
19,"5-star content, 1-star app usability. Won't even accept Google play credit and simply says ""transaction denied"""
20,Needs some work still but definitely functional.
21,"Waste of time, better read comments before installing,"
22,"I love that the app exists but it needs so much improvement. So buggy and so many common features on other apps do not exist here. I'm appalled by the sheer amount of buffering. In 2023, I have almost never had a video buffer for more than a few seconds, let alone over and over and over throughout a video - even an hour in - for MINUTES AT A TIME. And PLEASE add queue and discover options!!"
23,Best streaming service by streamers!
24,"After years of use, I can only leave one star. Today, they decided to load nothing more then a beautiful Nebula logo, nothing else. App never reaches home screen. 😢 Can't listen with video off, it stops after 5-10 minutes. It's been years they don't fix their long-standing issues, I am honestly debating why am I even a paying subscriber"
25,I love the news posts. TLDR and Second thoughts are quite good
26,"Great content, but androidTV app could use some updates such as adding playback speed control."
27,Horribly slow and painful to use.
28,"The creators of this service are personally running it into the ground. I thought I was finally free from the YouTube adpocalypse with this PAID service, but the very people who created Nebula in the first place to get away from ads and YouTube's influence (looking at you, LegalEagle) now bake in ads to videos they post on nebula. Since Nebula thinks I should pay for the right to watch their worthless ads, I'll be discontinimg my subscription."
29,Pretty buggy on mobile.
30,"I'm a paid subscriber! I am very happy to see my favorite content creators receiving their rightful, hard earned money!"
31,"This is strictly for the app. The content is great and well worth it, but the app needs work. Glitchy, buggy, keeps crashing, wish there was an option to pick up the last thing I was watching, wish I could sort out content more easily. It's a shame because the content, as I said, is great."
32,"The Nebula service is good (although quite left leaning), but the app is terrible. I have another app that restreams Youtube with zero ads. It is made by one person as a passion project and is much better than this load of garbage. The nebula app is the worst experiance I have had in an Android app in years."
33,"It's okay, definitely needs work. - Using controls on earbuds or smartwatch to pause/play works only intermittently. - App will occasionally log me out and then crash when trying to log back in until I restart my phone - app loses your place very easily after switching between a few apps. If you let a video play in the background, pause it, and then come back, it's often gone and you have to go into your watch history to find it. - why does watch history not include podcasts?"
34,"Video doesn't play, only audio."
35,"EDIT: I stand by what I've written. Basically there were no improvements in 2 years. Each video freezes after 5/10 of playing it, and it has to be manually restarted. The content is awesome, the app functionalities not so much. It often either crashes or does not respond to input. I think a major update is needed to reflect the high quality of the creators."
36,Love Nebula. The last update fixed my only issue (i.e. downloaded videos used to pause regularly when played in background with screen locked). Thank you for fixing it!
37,It's a decent app to watch more videos from science YouTubers. One thing that annoys me is that huge banner above the video selection.
38,"I personally feel as though this is a pretty damn good streaming application made by a community of creators instead of a faceless corporate. I have seen a lot of reviews that rag on it but in all reality I have had a pretty seamless experience myself, also nebula/curiosity stream is a wonderful place to get full length documentaries as well as content that is not available on YouTube because of service policies"
39,"Love the content, but the app often doesn't work. Video is either entirely distorted or completely black and unwatchable. Recommend just using the website."
40,"The app needs a tablet mode and a way to hide creators im not interested in like TLDR NEWS, Daily etc.. I feel a bit tricked because i thought it would only be high quality originals but its just the same daily uploads as youtube. Nebula really needs some quality control on the videos that get uploaded especially when you charge money for it."
41,"Overall it's fine. It does the job. Really frustrating trying to cast stuff. Start casting, play a video, it's fine. Click on a notification to start another video and it says ""playing on TV"" while the sound blares our of my phone over a gray screen. Takes 2 or 3 more tries to get it on the TV."
42,Want to like it. App makes me hate it.
43,Love Nebula! That said there seems to be a recent issue where I'll click on a video and a completely different one from the same creators will play. I thought this was my fault the first time but after about ten separate incidents I know I'm not clicking the wind video since I checked and the video that played wasn't even in the screen I was selecting the desired video from. Please fix this and create a better way to remove watched videos other than 1 at a time.
44,"LOVE nebula. Hate the app. Abysmal performance, crashes, videos randomly stop playing."
45,"Amazing streaming platform with even better creators, no adds and full of original shows"
46,"I really don't like picture-in-picture features on apps; when I hit the home button, I want to go back to my clean homescreen. Unfortunately, when I disable this functionality, it breaks the app every time I leave it. Really messes up my ability to multitask, and makes the app a poor replacement for YouTube for me, which was my original intention with getting Nebula."
47,"Can't use the app without subscribing? I want to see if the app is as bad as everyone says before subscribing, is there no trial or free content to try first?"
48,"It would be helpful to have an easily accessible place to see videos in progress. Creators and Videos should both be in the library tab, instead of creators being under ""see all"". But the video player is easy to use, fast, and doesn't lag. I love supporting creators directly and not getting ads."
49,"This is a good and functional app. I've had no trouble using any of the app's core features, and had no trouble casting to my TV. As for improvements, I would add a rewind/fast forward feature for podcasts, as scrubbing on such a small control bar is rather difficult."
50,"App is very barely functional, multiple hard restarts to finish watching one video"
51,"I love the content, and the concept, but the app needs a lot of work. It's slow, clunky, buggy, bizarre UX choices (""My Videos"" in library is horizontal scroll with rest of screen wasted instead of vertical scroll??) at times."
52,FORCES YOU TO SIGN UP JUST TO ENTER DO I'M NOT SIGNING UP DELETED INSTEAD.
53,"Yay good video people, although I think even a crude recommendation algorithm would make the app a lot easier to use. There's a lot of different content on here, and it can take a while to find the stuff I want to watch"
54,"1080p videos buffering every 5 seconds. Force closing app and clearing cache doesn't resolve the issue. Happens on 5g and WiFi. Guessing its a server-side issue. A shame as the content offered would be good if I could watch it. Back to YouTube I guess :(- Edit June 9th 23; hopefully, the analytics feature added to this version can pick up the blank screen and spinning blue circle I get on every video"
55,"The content on the app is five stars, but the app itself is two stars. So that's why I give it four stars. I used the app three or four years ago and the app of today is leagues ahead of where it was then. However there are several little features that the app lacks or bugs that the app has that make it harder to use. While the things I've learned from their videos have been valuable to me, the bugs and lack of some features made it hard to use in the end. I'll check back in two years."
56,The only thing I could ever ask to make this better is personal Playlist's
57,"It's locked in landscape view. This is ideal for watching videos, but it makes navigating menus and choosing a video much harder"
58,"content is great, but the app sucks."
59,Simply won't work when I try and stream anything.
60,This is the worst app i have ever seen yeah and I will say it again this is THE WORST APPLICATION IN HUMAN HISTORY
61,"Great content which I don't mind paying for. Horrible app. No playlists, bookmarks... If you want to watch a series of history episodes, it makes you scroll down through tens of episodes to get to the first episode. You almost need pen and paper to mark the things you want to watch. I will almost certainly cancel my subscripiton afeter the one I have runs out."
62,"I love the service but the app is so bad. I've been trying to listen to podcasts like the Layover, but it's impossible to get through 10 mins a podcast without a crash, let alone a full episode. It's been like this since at least March, and it's now 3 months later with no improvements in sight."
63,Randomly stops working for no reason
64,Horrible audio stuttering and intermittent noises during playback through chromecast. I have streamed many services through Chromecast with zero issues. I just tried to watch a video with this app and it is terrible. Picture is fine. But the audio issues make this app unusable...
65,App works well
66,No trial. Or anyting to see if I actually want the app before I give them information
67,how TF do I register?
68,"Love the content and the concept, but the functionality of the app is not good. A lot of it I can't really define but it just doesn't run smoothly: switching screens, casting to my Chromecast, skipping to the next video or the video or not keeping track of what part of the video I'm on when I switch between casting and my phone, long loading times. It works, but it doesn't feel good. I'll subscribe again once they've had some time to polish it"
69,"Basic functionality doesn't work. I can't search, I can't look at the contents of a channel. Even though the price is cheap it's ballsy to charge money for this"
70,THERE'S NO JET LAG THE GAME I'M UNINSTALLING THIS APP I DON'T CARE NO JET LAG THE GAME NOT WORTH IT.
71,Great contents
72,"Super super superrrr expensive. It's basically Youtube, but more expensive. If you want to support your Fav Youtubers, then by all means go ahead. For me though, nah."
73,How can I see the latest videos uploaded by creators I follow in the nebula app (not as notifications)? Update: great to hear this function is available. Increased to 4*
74,"Great idea, poor app though. I love the videos on Nebula and the idea itself is very cool. But some functions in the app just don't work. Streaming to a tv takes ages and pause and play doesn't work. If this geta fixed, this might as well be one of the best platforms for content creators. Right now, the hustle of using the app is sadly too big..."
75,Really like the whole platform
76,Spend money on improving app user experience please 🙏
77,Stopped working
78,"The app is absolutely un-useable. It crashes every 5 minutes, it says it's still playing in the background even when you close the app completely and you can't swipe the notification away, and odds of it even being able to load on data or WiFi are low. Such a shame, the content is great, but the app just does not work."
79,"I kinda like Nebula but this app has been so buggy for the longest time. Even after a couple of updates (more than a few years because they update so infrequently), it's been laggy, has had frequent crashes, and been generally a poor user experience. Someone should come up with an alternative player like how YouTube has vanced or the new alternatives to YouTube vanced."
80,"Lovely videos, lovely service, but the app not running after a few seconds of the tab being out of focus or with the screen being off is a constant annoyance.. Other video apps with far fewer resources, small audiences, and quality in general seem to have no issues in implementing this. That fixing it isn't the number one, most urgent priority for a *video essay* provider is simpl6 bizarre to me. Again, I love the product, provider, content, and most everything about it, so 4/5 stars."
81,"The app is overall very good, I only have one slight issue. The media player in the notification shade will not go away. Like the app has been closed for a few days and the video still sits in the media player and it just says ""The current media session cannot be hidden"" when I try to clear it. What's that all about?"
82,Works great for me. Watch lists would be a great feature
83,"I support nebula, I like the content of nebula, I like many of the creatures on nebula, and plan to stay subscribed to nebula. But this app is BAD. It's hard to navigate, glitchy, and lacks the features of almost every other video player. A podcast player that doesn't even let you play podcasts with the screen off for more than 30 seconds without freezing. No skip forward or backward 30/10 seconds makes navigating back to where I was in a video or a part I want to rewatch impossible"
84,"Can't get the resolution changes to work for the life of me. Always crashes the app when I click on it. Any videos longer than about 20 minutes are extremely sluggish to load. Also a little confused by the lack of comments, although not really an issue. I am a fan of the UI and, of course, supporting creators. Hope things improve <3"
85,Authentication failed error on sign up. Could not even use the app.
86,nebula is one of the best services for getting high quality educational content and supporting your favorite education YouTubers on their own platform where they can deliver high quality content without being afraid of running a foul of YouTube's capricious advertising standards and the algorithm
87,missing basic functionality like the ability to pause and resume a video five minutes later
88,"The content on this App is great, the app itself however is terrible. Playback just pauses completely when buffering and simply doesn't resume. The structure of the UI makes no sense to me and thumbnails take forever to load"
89,"Decent content that you can get elsewhere, baked into an absolutely horrendous app that makes HBO now look good. It lags, crashes constantly, and does not exist on Android tv or Google tv... I have to stream this app to my 2015 Chromecast, on my 2022 smartTV... What? Why on earth would you build a modern media streaming app from the ground up that doesn't integrate with streaming platforms? Fire your project engineer and just start over. GPT4 could probably build a more useful service."
90,Lock out my account and asked me to subscribe again and to expensive
91,"App keeps crashing in mini player mode, no way to disable watch history, no option to watch below 360p"
92,"No ""try before you buy"" option."
93,Great content poor execution as others have said it is very janky. Really need the ability to curate what goes to your homepage or at least the ability to hide the videos that you have no interest in
94,"The app is very clunky, often freezes when searching for something or trying to load a video, and generally feels very unfinished. Whilst the exclusive content on nebula is certainly nice and unique from YouTube, and the general concept of nebula being a streaming service where content creators aren't bound by algorithm and monetisation constraints is a good one; in nebula's case, it isn't worth the price tag. Especially when the app is slow, clunky and feels unfinished."
95,"Awful Ui. The app doesn't show your feed of subscribed videos. Have to go 2 menus deep to get that. In 'your videos' page it lumps in videos you have already watched. And it's a side scroll menu, so only 1/4 of the screen is taken up. A bafflingly idea tbh. It's just not easy to use. There are so many streaming apps now that a good layout is almost templated. Should be alot better really."
96,I really like the content but this app is so unstable it is too annoying to warrant the subscription fee. Just constantly crashes when I'm trying to listen especially with my screen off which I am used to doing with youtube at work to pass the time. I have no real need for it outside that
97,"So much happier to be running this over YouTube. Excellent content, no advertisements, and no invasive pop-ups. Only suggestions: add a like button to help users keep track of content they enjoy :)"
98,"Unreliable app, keeps crashing, cannot play podcasts without crashing, also there's no way to skip ahead or back a few seconds on podcasts"
99,"Great platform, great videos, terrible app."
100,You need to make your podcasting experience better!
101,App is freezing on the launch splash screen. Cannot watch any content 9n the app.
102,Great content AWFUL app! I love the creators on this app. I love the subscription rates. I don't kind the simplicity of the app. I love the download feature. But this app.... Is just riddled with bugs. From constant crashes to buggy downloads and a poor browsing experience. It's why I've given this app only one star. It could have been So Much Better!
103,"Love the videos, but app functions need a lot of work. Examples. When looking a good video, i cant click the name of the maker. Would be nice if it opens the clip makers page. Especially when casting it to google chromecast, this does not work. Also the search function is extremely low tier. You need to be extremely secure what you type"
104,"This app not only freezes repeatedly, but it sucked up almost 30GB of my wireless data in three freaking days!! I don't even use that much in a week using YT!! So now, that is to the nebula app, my speeds are slowed for the whole month! I love nebula itself, but I will NEVER use this app again!!!"
105,"the ui needs some work. Searching for things give clunky results and its hard to keep track of creators whose content you frequently watch, things youve already watched or partially watched. The app also tends to keep playing when you put your phone to sleep. abillity to toggle mode would good. Finally i jusy dont feel like enough content is produced over a period for the subscription to be worth it. The exclusive content also tends to be lower production value than documentaries id pay for."
106,I like it great! But I can't give a video app wherein I can download videos 5 stars if it DOES NOT ALLOW downloads unto my SD card. They need to make this a feature.
107,"Great idea, garbage app, it's slow to load, unresponsive to input, and can't even load a short video properly"
108,"Terrible platform to stream - speed is independent of quality. Even with quality set to low, video cannot buffer well for continuous play (fix your end and I'll fix my review)"
109,"The content is good, but God, the app runs so slow."
110,App certainly has issues such as Chromecast video queues not working or looking at videos under browse will continually load older and older videos.
111,The app and the website seem to suffer bandwidth issues. Videos will hang for 3-5 minutes every 5-20 minutes. I am unable to listen to podcasts as they will stop playing after 10 or so minutes and as far as I can tell the app crashes in the background. Then need to navigate back to the podcasts to resume playing only for it to do it again.
112,In the last few weeks the app just will not launch. Single star in the middle of the screen. Rather watch ads on YT.
113,"Great content love the service but app is glitchy - struggles with switching between landscaping portrait modes which means I have to force close the app when I want to pick a new video and have them viewing a video in landscape. Other than that, good"
114,"I can't pause a video and pick up where I paused. I have to close it and reopen and navigate to where I was. I think playing videos is what most people use the app for so why can't you folks even get that core freature to work smoothly. I got an awesome deal for a year membership, $15 I think for Curiosity and Nebula. But even at that price I won't renew when the time comes unless the app is improved."
115,App won't launch (can't get past the splash screen)
116,"Content is great, but when I play video with screen turned off it stops after 5 minutes. Hope you'll fix it"
117,"Absolutely the worst media app I've ever used. Casting is low quality and still buffers every minute (other apps are fine at full quality), and while you can add videos to watch later you can't find the watch later list, and search only works sometimes for example you can pull in ""real engineering"" and submit but nothing will come up until you repeat the search."
118,This app sucks. I downloaded it onto 2 phones and the app keeps pausing/stopping podcasts at random intervals.
119,"Great Content and Price, Subpar UI/UX. Needs some more polish. Highly responsive though these days."
120,I love this service but the app won't even open anymore :(
121,"Nebula is great, but the android app is a slow and buggy mess."
122,"Works very well in my experience. I have not experienced any issues. I do miss the comments and voting from YouTube, and I suspect the community discussion on the platform would be much more valuable than that of YouTube. I'm glad to be supporting some of these great creators directly."
123,"Love the content, but absolutely hate the app. The UI itself is poor, but the reason for my negative review is that videos just stop playing every 8-9 minutes, occasionally crashing entirely and forgetting where I was in the video. I would not use this app at all if not for exclusive content, and sometimes I just wait for that to profilerate to YouTube instead."
124,"Keeps signing me out, clearing the watch history(which isn't synced). Not worth it if it's this much of a chore to start watching something and pick it back up later. Content is good, will happily return if it's fixed."
125,"Great content, terrible app. Constantly has buffering issues on good internet and devices. Keeps playing video when you turn screen off, instead of just audio like other notable apps like YouTube. Unless Nebula fixes their app I can't recommend this service. Granted I only use the mobile app, can't comment on the browser experience."
126,You get 5 stars for the content. The app still needs some work but... Eh. It's workable.
127,I can't even watch a video without paying. I'll never come back and I'll tell my friends to avoid it.
128,Unable to watch in background. The app crashes or pauses the video.
129,"I don't know if it's just my phone or what, but this app runs really janky, far more often than I would like. Most of the time it's okay but sometimes it won't play without stopping for looooooong stretches and you can't download a single video in less than an hour when it is like that. The playback controls are also awkward (progress bar is frequently hidden in landscape, 10s rewind doesn't work when you hit it multiple times)."
130,"So far no problems at all, has all the quality of life features I like, like the miniplayer while browsing, and seems to run very well. Many of the negative reviews may have different hardware, but for my Pixel 6 everything is peachy."
131,"Love the content, but the UX of the app is a little iffy. One example: When you're subscribed to a creator, the subscription button says ""following"", and when you notifications enabled for a creator, the bell icon has a line through it. So one button's design communicates it's state, and the other communicates it's behavior if clicked. This led me to accidently disable notifications for my favorite creators thinking I was actually turning them on."
132,"Casting from the app is flawed; it rushes through the titles then empties the queue (I use chromecast on a Roku TV). The browser player can't cast to Chromecast, nor can the site use Chrome's tab-based Chrome casting. When attempting to cast a Chrome browser tab on MacOS (v12.2.1),the video shows for a few seconds before disconnecting. Lowered to two stars because casting is the main way I watch videos since my bf and I moved in together. So that means I don't watch Nebula anymore."
133,"The content is great, but the experience and UI is horrible. They offer podcast, but this is the worst podcast experience anywhere on the internet (it is so hard to just get to the time stamp you want), and it doesn't even save your progression. The videos barely work either. They should implement the watch later as a playlist like youtube, it is so bad to have to close the player every time I want to change video."
134,Content is great. App is super glitchy.
135,Pretty good but the layout of library could use some work
136,"I use Samsung s6 lite original version , this app works perfectly. I'm also happy with the download for offline access option hopefully there is option to use sd instead of internal storage ."
137,"Service is great, app needs some features. I'd love to see a jog forward/jog back button replace the skip forward/back options. I need to rewind a little bit way more often than I need to jump back to the beginning."
138,The app does not seem to want to launch. It is just stuck on the start up screen. Even after clearing storage and cache. Uninstall did not work either. The app functioned ok when is was working as intended.
139,AndoidTV app is frustrating to log in with a long password from a password manager - please add a qr code option or something. Podcast sometimes cut off and require a restart.
140,"The service is absolutely wonderful and Web experience is great. However the app is just dire, videos struggle to load constantly buffering and dropping quality when I can swap over to youtube and watch in 1080p without having to pause every 30 seconds. I cannot recommend nebula enough, just not on mobile."
141,The catalogue of the shows are good but the interface is too clunky and seems outdated especially the sorting and the grouping of different programs are pretty confusing especially when compared to other streaming services that offer infotainment contents. Hope Nebula will fix it in the near future
142,"Constructive feedback: Podcasts need skip 10s forward/back controlls, Podcasts need 'continue from last time' feature. Playback time indicator, needs the slider drag to time to find a certain pint in time. These three features are so crucial to eliminate the most basic frustrations."
143,"Pretty buggy, sometimes when searching channels I have to re-search 2-3 times for them to pop up. Adding to watch later also doesn't work ever for me. The content is fantastic though! I really hope the glitches are fixed because I love the idea & creators, but the execution leaves something to be desired."
144,"Oh god, this app is so bad! Just like everyone else has said: content is good, app is awful. Crashes regularly whether I have downloaded a podcast or am just streaming it it just randomly stops, I watch the content that I signed up to Nebula for on YouTube and only go to Nebula for the exclusive podcast."
145,"Content is great. App will not let me playa podcast in the background when opening other apps like games that could, but don't use audio."
146,Solid app for the most part. A few minor glitches but nothing serious
147,"I want to support creators by watching on Nebula, but it's impossible to find anything. 😵‍💫😵😵 Browsing is difficult. Finding creators you already know is difficult. Can you not just group series/channels under the creator instead of giving the original series a new and unrelated name? Thumbnails are too large. It would help us you could make them half the height. Horizontal scrolling is also really uncomfortable."
148,"Doesn't work, just a single star in the center of the screen. Uninstalled and reinstalled, still doesn't work."
149,"In general it is great, but the podcasts are a bit weird, randomly stopping while in the background. On top of this, once you start playing it again, it restarts from the beginning, so you have to find the correct time again."
150,"I used to really enjoy using this app as it had no YouTube shorts, no algorithm and purely what I wanted from the creators I listened to. But in recent months I have had the issue of it constantly playing and pausing as though I have no wifi but other apps play in HD just fine. And I use it across devices with the same issue. It makes the watching experience miserable and not worth it. Aswell during the recurring payment we were billed around $100 for the year instead of $40 for curiosity bundle"
151,"The app has always been buggy and needing improvement. However, the most recent update has left one of the primary benefits of using nebula inoperable. Presently, I am unable to play audio while the phone is locked."
152,"Can't search for anything, When watching a video and I go to click on the creators profile, it never loads. App crashes."
153,"Stable, needs some comforts I finally took the plunge - there were enough positive reviews recently to indicate that perhaps Nebula has gotten stable enough. Pretty cheap, so, why not try? I'm happy to report that after 2 months I have had no crashes, etc. It works on browser and on phone, casting (the only modes I've tried). Little things could be added - short skip FW or RW as buttons or double-tap on left or right side of display are sorely needed, along w/ ability to customize skip."
154,"I didn't find any of the content interesting, and it buffers like 2008 YouTube on my gaming PC. Not worth it."
155,educational information and videos are great
156,The streaming speed is ridiculously slow. I have never seen any videos at 1080p resolution.
157,"Love the content, but why is it so hard to find the channels and creators I follow? Even finding a show I watched halfway through is very hard. I find myself putting up with the YouTube ads because they cost me less time then to search the content I like on nebula. Please improve the user interface, in my opinion the only thing holding this awesome forum down."
158,"There is no opportunity for a one or two day trial before this app pushed not only for an email address and password but also for a monthly fee. Asking for a fee before allowing potential users even a day of fee free use to try before buying is a huge turn off (""red flag"" in woke-speak). So for me it's back to You Tube."
159,"I love Nebula! This app is constantly improving, and I don't encounter nearly as many bugs anymore. The content fueled by so much creativity and genuine passion. My only wish is that there was a way to interact with the videos and their creators. A like button maybe?"
160,"It's been a couple years since I gave it a 3☆ out of pity. The app crashed constantly, you couldn't search with half the alphabet, etc. They've finally fixed all that. From what I can tell so far, it works as smooth as YouTube now."
161,doesn't work on philips tv... but works on an older sony tv
162,Hdud fjri
163,"I appreciate the concept of Nebula and embrace it as an alternative to similar apps. But I find that queuing functionality is lacking. As in, personal categorized playlist isn't an option. Otherwise, the search feature often turns up no results for content I know creators have posted about and can be found on their alternate channels after searching in alternate apps. I want Nebula to be my default but find the app to be a blunt tool."
164,"Great content and price, but Jesus the app is a buggy peice of garbage."
165,The app is simple and I love that but they should focus on fixing bugs.
166,Love the idea but YouTube ads are better than this last and actually shows me the stuff I'm interested in/following
167,It's getting better
168,top app. use it everyday
169,Videos are failing to load now. What am I paying for if I'm just gonna end up watching this stuff on YouTube instead?
170,"Awful mobile app. Constantly logs you out, downloaded content doesn't work when offline, buffers like crazy and gets stuck in the wrong aspect ratio. Content is amazing, but frequently literally impossible to watch due to login or download issues. Also doesn't pick up videos from where you left off or support playlists/queues."
171,The podcasts randomly stop and forget where you were. Barely usable.
172,unfortunately it doesn't work
173,Plz add profile plz plz
174,Death to YouTube
175,Buggy app for otherwise great platform
176,"I love Nebula, favorite creators like MKBHD, Our Changing Climate, and more are on there!"
177,"Great content, app could be better. Please give us playlist"
178,All in all actually a very user friendly and well designed app that does almost everything very well. The only BIG caveat that is just a dealbreaker for a video streaming app is my experience with loading rates and buffering. Even in a network that allows high quality streaming on other standard apps like Youtube or Netflix I get very frequent buffering of Videos in the Nebula App that strongly reduces watching experience. Maybe it is just for me but I need a fix to be able to use the app
179,"I gave the app a chance when I decided to support a creator I liked but it's not very user-friendly. I saved a class but there's not a spot in the app where I can even see where all my saved vids are. There's a ""Library"", sure, but it's not even showing there. And the language in that tab states that only vids from creators I followed will show there. Well, what if I only want to save that one video and not necessarily want to follow the creator? Why is that not an option?"
180,"Random crashes while watching vids. Try to pick up here u left, but unless you save it under ""watch later"" you gotta search for it all over again. It doesn't have a recent history section like Youtube."
181,App has huge problems loading videos. Mobile browser is way better. But the streaming service itself is nice. Jet Lag the game delivers!
182,"Great service, not great app. I try watching things and just nothing happens"
183,"Great content, and the customer service was fantastic, thank you Susan!"
184,I can't even make an account the websites (creat account) button doesn't work. Your loss.
185,"I already follow 80-90% of my YouTube feed on Nebula. The MOMENT Nebula introduces user-creatable and customizable playlists like on YT, I am switching my watching entirely to Nebula. I await that day eagerly."
186,"I've had Nebula for a few years, and I've seen it get DRASTICALLY better in that time. General UI updates that make it WAY easier to navigate, Downloads, more Channels and content, Classes, and Podcasts. I can't overstate how good Nebula has become especially against how it was only a few years ago. Absolutely worth the money and I love every bit of it. 9.5/10 much better."
187,"Videos take forever to load. I want to support the great content of creators I got to know through YouTube, and YouTube's ads are so incredibly obnoxious that I would rather watch the videos on Nebula, but there is so much buffering (several minutes sometimes), even when I have already downloaded a video, sometimes. I usually give up after one video and just get frustrated with the obnoxious ads on YouTube because the videos at least play there."
188,Very poor app at the moment... video keeps freezing even though the internet speed is excellent.
