,content
189,I love the content but the app frequently crashes
190,"Good content, but every time I lose service for a moment, the video resets and I lose my place. Please please fix this. It's almost unusable in rural areas"
191,The app works- I just would like to see it be better.
192,"I agree with the others leaving poor ratings. The content is great but the app has sucked since it's conception. There are too many bugs that I've encountered to even write down from crashes to freezing etc. Would be a 4 or 5 star rating if these bugs are ever addressed, but I have my doubts since they have been around for so long already."
193,The content is excelent. I love the whole concept of the app from creators. It has improved and corrected the errors. Now it is totally recommended
194,"Poorly Built App/Site. While the content is farily good and i like the fact it supports creators, using the app is painfully slow and cumbersome. I won't be renewing my subscription sorry."
195,"Your progress is never saveda and have trouble playing videos not downloaded. Iove the creators this app supports, but the app itself blows."
196,Can't play videos of the creator I follow. App just gives error message.
197,"The app feels very clumsy, especially when all of the users are coming to it from YouTube. The home screen is a complete waste as it focuses on ""Featured"" stuff while relegating creators you follow to a small carousel in the Library. Based on what I've experienced so far, I'd not pay for this app if it weren't bundled along with CuriosityStream."
198,"Like everyone else, I love the content creators and want to support them, but cannot recommend the app or platform. It's extremely buggy in countless ways. I often can't even login to my account. Whoever is handling the engineering at Nebula should be ashamed over the terrible product they're putting out - it's only hurting the content creators."
199,"Great creators, don't have to filter through garbage videos. And now enough content to justify using"
200,"App is quite workable for what I use it (watching videos from creators in that I follow). The picture-in-picture can suffer from visual glitches, and I have had it crash on me once. My main issues at the moment are that you cannot set by how much you fast-forward/rewind (locked at 10 seconds), and more importantly, that you can only skip back or forwards once, rather than being able to jump multiple times (like with YouTube or BBC iPlayer). Cannot hide watched videos from your creators :("
201,"It used to be that on the AndroidTV version, closed-captioning would never stay off. I would turn it off on one video, and it would be right back on again the next video. Now, I can't even turn off closed captioning at all. The display shows that it's off, but the captions are still there, and turning it off and on and off and on has absolutely no change to that status. The captions are always stuck on."
202,"Love the content on Nebula, however, the app experience could be a lot better. The videos seem to be a lot less buggy than they used to be. One thing that I would like to see is the ability to Save to Watch Later (or add to a watch later list) from the notification screen rather than having to open up the video (as an example, YouTube has this feature)."
203,Didn't read the fine print and didn't realize it was a pay only app to download and. Got to the end to sign up and it says 4.99 a mo. Or 49.99 a yr. I'm not paying so how can I get my sign in info out of the system? I dacked up and my info wouldn't show up anymore!!
204,"I would love to use this app, but it doesn't even open, it just crashes. I'm sad because I want to support creators, but I can't."
205,"I have a love hate relationship with this app. I think the idea is great and you have my support, but the implementation is extremely poor, I understand the resources are not like large tech giants, but the basic functionality is always disappointing. I always have problems and it feels like everytime I login, there is something new that breaks. I want to support Nebula, but it is not convenient to use."
206,"There's a reason why video streaming is offered only by companies with deep pockets. It requires servers around the globe for minimal latency. HD video requires these servers to be at least have gigabit connectivity, even when behind CDNs. Videos also require considerable storage space on the servers. To top it off, dedicated technical staff alone would cost hundreds of thousands per year. As they say, a woman can deliver a baby in 9 months, but 9 women cannot deliver a baby in 1 month."
207,"Editing my review down, was just in the middle of using the app when it froze and logged me out apropos of absolutely nothing. I first reported this issue years ago, it is still happening, and I am planning to cancel my subscription next time simply because this is the main device I use for Nebula and it clearly can't be relied on. Old review: Content is great but app needs work. It randomly logs me out, which is not an issue I've ever had with any other app."
208,The app is slow and user unfriendly.
209,"Just keeps saying ""please check your internet connection""."
210,"Sorry, but not going to spend time thinking about yet another password just to register on the system that i might or might not use in the future. Looking forward for this feature and will update my rating"
211,"Not the easiest application to watch videos in landscape mode with. Needs better support for larger format devices, such as tablets, etc."
212,Doesnt work. Cannot log in eventhough I've unnecessarily changed the password. UI was also bad while it lasted...
213,Terrible app. Crashes constantly and makes you sign in every time you open it. Hoping for an update soon.
214,Really janky app. The content deserves better.
215,I really like the concept but the execution is poor. App glitches and loads painfully slow. I really wished I could give a better score but for now this as high as I can get.
216,"I will excitedly change my review to 5 stars as soon as some simple features like a history section to get back to unfinished videos, and more easy access to my preferred creators. As it stands, this app is needlessly difficult to navigate. The content is awesome though, and I really enjoy a platform other than YouTube."
217,Content is very nice. App is trash
218,"The app loads every video extremely slowly. I don't know if it's a server or compression issue, but it makes it almost impossible to watch any videos at times when YouTube has no problem. Used on different phones"
219,Dumb
220,How do I connect?
221,"While the service and content are great, the app however. Is not. Bugs are plentiful, worst being the Android navbar (buttons) covering up the UI and content when switching to or from fullscreen."
222,"Won't open on Pixel 6, crashes every time."
223,"The video player is terrible. It'll show a blank screen or a still frame with audio, and it's nearly impossible to drag the indicator on the playbar to move forwards or backwards in the video. On the creators, the majority of videos recently have been from low-effort creators churning out videos for the sake of making videos. YouTube is already full of that, but YouTube is free. Nebula should incentivize high-quality content, not endless low-quality content that's already available on YouTube."
224,Frankly a little underwhelming from my pov in terms of interesting videos. Was a little disappointed that some creators didn't see fit to have subtitles on their videos (looking at you Brian McManus). Also an annoying bug when browsing latest videos it will scroll automatically to the top of screen.
225,Trouble casting on Samsung series 7. Very new to app like content/creators. Keep up the awesome videos!!!
226,"App crashes on startup! Booted it up today, shows the landing page for a split second and then crashes back to my phone's home screen. OnePlus 8T running android 11"
227,Latest update broke the app. It starts up and dies in a second or two.
228,Sub-par UI and user experience. Great content.
229,"Updating, used to give it 4 stars now it's only getting 1. The app literally won't even open. Update and fix this!"
230,"Great content, but app is a bit of a work in progress. Works fine most of the time but bugs keep creeping in (although they are fixed fairly quickly which is great)"
231,"Fantastic content and creators, but the app itself needs some improvement"
232,"As many have said, there are great content creators on this platform. It's always been a bit clunky, but the past few days videos have been either playing as photos with narration or completely unplayable."
233,"Great service and content, rating four stars because, like others have said, there are some bugs that affect the viewing experience."
234,Needs a casting button.
235,"The UI is pretty bad. Scrolling on a podcast page is a headache. One engineer spending one week on that could fix it, I'm sure. And the colors are very badly contrasted... grey text on black background? Come on now..."
236,Not a great app. But good content. Quick question did I only get 28 days for my month of subscription because I started in februari. Doesn't seem fair 😅?
237,"UX is not the best, but the content is top notch, I can discover new awesome things only looking around random creators"
238,Love the content but the app just started stuttering with the video moving once every 5-10 seconds on most videos.
239,Like the creators but the app is crashing on starting it up now so it's completely unusable.
240,"Been enjoying thr content and discovered new creators through it but it seems to be a laggy mess at the moment. Audio is there but the video wont play. Tried restaring phone, checking for uppdates and restarting the app. Hopefully its not like this for most users but at the moment the app is unusable for me. Edit: this only seems to happen when im using hd video but its not like my internet is a pushover."
241,"I watched Tom Scott's Money series. The ""next"" button jumps to the last video. The ""last"" button only resets to the beginning, you cannot jump to the last video. When forwarding 10s you have to wait for it to compute. You cannot do it multiple times. The video does not automatically (or at least offer an easy option to) jump to the next video. Probably the worst video player I ever used."
242,It's really slow to load up all of a sudden
243,"Content is great, the app, casting, queuing, and even search feature are all glitchy and inconsistent. The casting icon disappeared for an hour today."
244,"Despite my 100 mbps internet and perfect ability to stream all services, all I get is frozen buffering circles shortly after each video begins. I wrote them. ""Ashe"" responded, ""Buffering symptoms like this are typically indicative of an issue with our video hosting service"". She asked a battery of questions about my device, internet provider, specific videos [all!] etc. I responded and, DESPITE FOUR FOLLOW-UP EMAILS, never heard again! They took my money and disappeared. THIEVES!"
245,Nice app
246,"Horribly buggy app. Keeps pausing intermittently. The play in background feature doesn't work at all. I keep pressing play and it shows playing but completely stuck. At this point, I'm only using the app when a creator tells me there's a nebula exclusive video. I love nebula creators and their purpose but there's a lot of work to be done on the engineering side of the app."
247,"I love the content but this app is garbage. I literally can't even sign in on it, even though I can on web."
248,"I love the Site, I hate the App."
249,"I have a subscription that works when I login on the website, but when I login in the app it asks me to get a subscription. Deleting all the data and logging in again didn't work either."
250,Expensive and horrible UI
251,Unusable on tablet - forces vertical orientation
252,🇲🇽
253,Pretty horrible user experience. Very buggy. Please do better.
254,"I want to like this app, I love love love the content. But the lack of features and a a few glitches make me rate this low. Please work on making the app more useful. Autoplay would be awesome!"
255,"The promise is high quality content, the reality is the same clickbait garbage you get elsewhere and you pay for the privilege"
256,Freaks out when rotating the screen. Something tells me nebula wasn't optimized for tablets
257,Legit wont even open at all but it took my money first of course
258,"Good content, bad loading times"
259,"Really good content, but app is unusable."
260,"This app sucks. You can't watch more than 1 video in a row. There are no playlists. So you have to select a new video every 6 minutes depending on which creator you're watching. You could at least make it so the next video from whichever creator you're watching starts automatically. You already have a list that says ""Up Next"" or something. It implies that vid will play next, on down the list but it's just a ruse. AND IT SUCKS."
261,Working good again.
262,Good videos
263,"Liberals only? Can you try putting some content on the site that isn't just left wing talking points. Red hat = evil, global warming every 4 videos, everyone is transgender... Every channel has a liberal skew to it. Are there any conservatively skewed channels?"
264,Cannot see what content is available before you subscribe. Subscribing is bugged so it won't work.
265,"Love the website. This app is a bit unstable, better to use a browser."
266,"Edit: The new batch of updates made the app's UI a lot friendlier and the overall experience seems to be tightly matching YT, so I hope we can get more content as well. I really wanted to make this app my new YT, but they're beyond compare - UX-wise Nebula messes up my phone's PiP, has terrible touch-recognition, constant misclicks... It's excruciating to watch content in, especially compared to apps like YT. It feels like a beta, or a later-stage alpha build."
267,Cast quality is extremely poor; there needs to be a way to cast videos in higher quality. There's no point in leaving YouTube without that.
268,"Contents are great, the UI is pretty terrible. List of creators you follow are hidden behind ""my videos"", which then separates to videos and creators. Took me a while to even find where to see the list of creators I follow. Also, there doesn't seem to be any distinction between creators and their playlists. For example, there are multiple Lindsay Ellis creators, one main channel and multiple playlists. It's a shame that the UI/UX is such a hindrance to using the app."
269,Good content but very bad ui and ux. App is very slow
270,They have really improved the app but it still has a few bugs. I still can't see my watch later playlist in the Chromebook application.
271,I get to watch 6 or even 7 seconds of video for every 15-30 seconds of silent still screen. I hope this isn't normal and when I go back to the app after leaving this review I'll realize that I spoke too soon. Keep your fingers crossed...
272,"AndroidTV: User interface could use a lot of work. For example, closed captioning constantly gets turned back on. I turn it off for one video, then watch a second video and it's immediately turned back on without me doing anything. If you've just found a new channel to follow and you watch a video from a while ago several rows down, when that video ends, you are all the way back up at the top of the list with the most recent videos, and you have to scroll all the way back down for part two."
273,"Works great for me. Captions are more accurate than YT and the popout player works great. Lack of interaction with videos and/or stats leaves one wanting. With polish and improvements over time, I daresay another certain video sharing website should be concerned about Nebula coming for their cheese!"
274,Needs a streaming app for Xbox! 1 star for visability.
275,Great app. Casting to a tv works absolutely amazing. Just really annoyed that you cannot turn off auto-play.
276,The app keeps crashing
277,"Regardless of what platform I use, android app, ios app, pc browser, and roku app, it never fails to stop playing the program I am watching multiple times. I am forced to quit and log back in to continue to watch it."
278,It's a good platform but it is not a good app with lots of bugs.
279,"The app is a little buggy, but I've never had a problem with the website. Any little hang up is worth the content. There is no better orator of history in this format."
280,"Extremely rough & buggy!!! There's no search history, no easy way to find bookmarked vids, no adding to playlists; the tappable area for the pause/play button is frustratingly tiny; double-tapping the left side of the screen skips back 10 sec but buffers for 1-3 sec & there's no way to set a longer increment (eg. 15 sec), & consecutive skips don't chain together so it buffers between each skip; sometimes it ignores the current quality setting & decides to use max quality (causing more buffering)"
281,Videos just don't load
282,"I was bullied into signing up again by Lindsay Ellis and so far the app seems better than it was last year when I tried it. But why is there an option to add videos to ""Watch Later"" but no way to actually access that list?"
283,"Sadly have to concur with many of the other reviews that the app is simply way too buggy despite enjoying the creators on Nebula. Starting up a video will always happen at 144p despite quality being set to 1080p on plenty fast connections, the video controls will be unresponsive or not show up, using PiP mode is a nightmare when returning to the app and ends up necessitating restarting the video half the time. Might join the beta just to get updates faster..."
284,If I misclick a video there is no way to go back to the video I was just watching. The app is a bit unresponsive.
285,"app works fine, sometimes glitchy or laggy and can be slow at times."
286,"I don't know about others, but my app works perfectly fine. Great platform 🥰"
287,Deleted immediately after realising you can't even see what content is available without first signing up to a subscription. Not even a free trial offered.
288,Love this. Great app for all sorts of educational content.
289,"It's good to watch videos without ads but so many problems with this service detract from the experience. The navigation is poor and it's difficult to find stuff. When casting to a TV with Chromecast, the queue is inoperable: it just hangs at the end of the first video and I have to start another chromecast app to disconnect it and the start again. It's just so buggy. Why wasn't it tested?"
290,Bad at casting
291,Terrible app Keeps telling me I have no Internet when I clearly do Won't let me play videos. Shameful.
292,Chromecast doesn't work most of the time. I payed for the service with the intention to watch on my TV. What a shame.
293,"Unable to set a video quality, always going up to 4k and buffering on my poor mobile internet. App also crashes when i switch to different apps sometimes."
294,"Finally the latest update fixed all the major bugs that prevented the app from being usable. It's nice and smooth now. Love the content and the creators on nebula, I use it more than YouTube now. Keep up the great work and try not to break the app anymore."
295,"Nebula is a social enterprise and clearly the app needs help, i'm sure it's a lot of work on a shoestring. So if you know any app developers that can spare some love for the cause, connect them with the nebula team. Also, no free trial? That needs fixing if you enjoy growth."
296,"Content is awesome, but the app keeps saying I have no internet connection even though I do. This app is very glitchy. Probably going to cancel my subscription because of the glitches."
297,"It is a great improvement, that there is picture-in-picture now, thank you for adding it. But it still crashes sometimes while reopening the app when there was a video playing before (I always try to send you the bug-report, since I know you are really developing the app). Also it would be great to import watched-videos / subscriptions from youtube if possible."
298,Cast to another screen doesn't work for me
299,"Why should i pay to view events that are already in youtubee,,,,"
300,"The content on Nebula is amazing, however, they need to fix this ASAP. I am paying a subscription fee and yet have such little, useful, functionality. I love Isaac Arthur and wanted to watch all his episodes from number 1. Well, I have to manually scroll all the way to 2016 every time. No playlists? Why? I click to follow channels I enjoy, yet I dont know how to filter by followed channels. I just get bombarded, like on YouTube, with shows I dont want to watch."
301,"Navigation menu is back. Although I'm now getting a flickering blackscreen covering the lower 80% of the screen. It disappears while scrolling, but flickers back upon stopping scrolling."
302,Worthless... Search does not exist
303,"A hassle to use. The content seems solid but the experience if using the app is frustrating. Using a Chrome cast the mobile app would stop casting after every single video and I would have to fiddle with it every 15 minutes which is pure cancer. I want something that just plays videos seamlessly, not something that requires my constant attention every few minutes."
304,"I really like the idea of getting independent of YouTube. But there are some major functions missing. First of all: Playlists/Watch Later. Just doesn't work as it should. Also, comments would be nice."
305,"Although the service is amazing, and the content creators are spectacular, the app is absolutely awful. You can't run it while running Google maps, it randomly makes downloaded files corrupted and unplayable., And it's very difficult to recover files after they've been corrupted. It regularly forgets your position in a file which is a real problem. The support is abysmal, I've sent in three tickets, and never once heard a response from them. It feels like the developers don't care at all."
306,"I would absolutely love to use the app, but every time I try to log in, it tells me that my data is not correct. I have double, triple and quadruple checked my username and passwords, even rest them a few times, but the same message still pops up. I would really appreciate a solution"
307,Very good and supports the creators.
308,"Great substitute for YouTube with lots of quality long form content. Feature recommendation for devs: when sending me a notification for a new video suggestion. Put a ""Add to Watch Later"" button in that notification"
309,"Downloaded this thinking it was a free but ads experience, as ive seen it recommended by youtubers only to be disappointed after a make an account to see a paywall :( ` ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀Edit: furthermore, they dont even let you access simple account features unless you pay so i cant even delete my account :("
310,"Nebula, the streaming platform, is an oasis. I love the creators for whom I signed up. (Some others on here sometimes come across as glibly politically self-righteous, but it beats the hell out of the constrained, algorithmically-shepherded YouTube.) Nebula is amazing. In contrast, Nebula, the app, made me want to throw my phone across the room. Uninstalled."
311,Thanks for fixing the bugs
312,"I love the videos and creators on Nebula, but like several others have noted, the app freezes and bugs out alot. Once those bugs are fixed it will be great. I also think that this app could easily compete with youtube if there was a comment section. It seems that content creators on Nebula encourage people to discuss the video on Reddit, but why can't there just be a built in comment section on Nebula?"
313,Can't even create a account let alone get on the app.
314,It looks like a great streaming service and I would have loved to try it but the only way to use is through a subscription. If there was a free option with ads (because I'm broke 🥲) it would be great
315,"The app is broken. Menu bar does not appear and selecting a video in portrait mode has it playing in the background, but you can't see it until switching to landscape. This means you can't ""back"" into a creators page by selecting a video."
316,Refusing to load
317,"unfortunately, I am unable to test the app without paying"
318,This app doesn't work the content is exactly what am looking for but the interface is impossible i simply can't get to enjoy it it buffer and pause all the time really Terrible you guys have put a bar of gold in a dung hill...
319,App is trash but content is good. App is slowly getting better tho
320,"Frustrating to find the content I actually want to watch. Something like subscriptions would help. There is great content however, when you do find it eventually."
321,Didn't recognize that I already subbed via CS trying to reinstall to fix this. Reinstall didn't fix it.
322,"The app is slow, sometimes unresponsive and extremely unreliable, and for a paid service I really expected better. I only subscribed to watch Mustard but the app failed at recommending me other creators. I have to go out of my way to search for similar content. Needless to say I'm unsubscribing after 1 month."
323,"Lot of issues with the app. It's more like a beta release. First of all, why there's no option for full HD download? Why you can't see the channels you follow?"
324,"Still no improvement - The app is super buggy. It will just stop playing the video and never load. Sometimes it won't even open again. It's so sad because the concept and content are good, but the service is absolute garbage"
325,Great service with awful application
326,"Great content, terrible app. For a while it worked good. Either an update to my phone operating system or an update too the app has least to me not being able to view videos (only sound plays). I like the content and sitting the creators but this app needs serious improvement!"
327,"new user, so pinch of salt, Its not the most polished. Improvements that could be made: a comments section, like and dislike, and links to if a same YouTube video exists or Linking my accounts so I know what I've watched on one platform would be nice. However. I do like how the creator page has both their store and videos within the same place, and the curation on the home page is great. Have not gotten bugs like others, but I think the overall app rating is too harsh for what it is."
328,"Mostly great, but shocking speed. Have to watch everything on lowest resolution to avoid buffering, and still sometimes buffering."
329,"I love the Nebula creators, content, and purpose, but the app has many glitches, and recent updates make it impossible to use. The menu bar at the bottom has disappeared, so you can't find your favorites. If you do select a video, the audio plays without video or a player bar to control it. Also the back arrow doesn't work anymore, so you have to force the entire app to restart and navigate from the main screen for each selection. Reinstalling the app didn't help. Hopefully this gets resolved."
330,App is unintuitive and buggy. Casting to my TV didn't work. After repeated attempts I just watched on my device.
331,Just broken. Basically nothing works
332,"Content great, app buggy as in ""doesn't work"""
333,"Something has gone wrong with the app in the last month. The bar at the bottom has disappeared, so I cannot navigate to my library. When I click through links, I cannot use the back arrow to return to the home screen. Running on pixel 6"
334,"Great concept, very mid app. No option to create playlists, long input delays when pressing buttons, and atrocious connectivity issues. I'm still using the app because I've paid for a year's subscription but I'd be very hesitant to recommend it to others, at least without a massive asterisk"
335,Can't reach the subscriptions page. The bottom menu is gone and the back function stopped working.
336,"App could be better, but streaming works for me."
337,"The content creators are awesome and I want to support them, but the app is hot garbage and frequently breaks down. Right now I cannot see the video that is playing or get access to my library or downloads because that part of the app is not drawing. To top it off, I was overcharged for the most recent CuriosityStream subscription renewal. Please fix it!"
338,Lost me when I discovered that app does not do landscape mode. The best apps should be idiot proof. I'm unwilling to spend time coaxing this app to meet my need for a simple plug and play.
339,App is broken can't watch any vids only hear audio but no video. FIX
340,Great content. Terrible app. Won't load. Wont stream.
341,"App function has improved in the last few months making watching much more enjoyable. The content is mixed, I love alot of the channels but clearly this platform is favored by a certain political mindset. I love freedom of speech/expression but I don't like swimming through Ideologies looking for my preferred explainer/science content. An improved search and menu system I believe would help."
342,"This is not the astrology app, it's video streaming. Junk."
343,"Yea, the app is bad but the content is good. You have a long way to go before you can compete with youtube"
344,"Great content, issues with casting. A team member contacted me after my initial review and I was informed about the issues with Chromecast that the team is working hard to resolve. Can't wait to see what the future brings! Browsing by length of video, and some sort of recommendation system would also be great features."
345,Good content
346,The app is too laggy and disappointingly clunky
347,"*A refreshingly simple user experience.* This app delivers a clean, uncluttered and ad-free video experience. You can follow channels and bookmark videos. The content is high in quality and broad in subject matter. I couldn't ask for more."
348,Not good enough to make a subscription out of the content but seems to be the growing fad.
349,"Joined yesterday and unable to use / watch via Android app. Rather disappointing & disgusting. I would like a full refund. So much hype & promise, yet nothing delivered."
350,"The content itself is fine but things like offline viewing, search and a lot of the ux is still very unfinished or broken"
351,Love this streaming site!
352,"Do not waste your money on their service. Extremely limited amount of contents and almost 99% of contents will be released on YouTube on same days. 0.9999% contents will be released on Youtube after 3-4 days of delay. And there is 0.0001% of real ""Nebula Exclusive"". Which is totally not worth the extra you will pay. It would be much better to directly donate to your favorite creators."
353,MAKE BACKGROUND PLAY OPTIONAL. I hate that it cannot be turned off. I want to be able to not have it playing in the background when I switch apps or turn off my phone.
354,Great content but it needs a basic search feature. Also clicking on a content creators logo should take me to their channel. I can't easily see all of Joe Scott channel. That's a real and frustrating example.
355,Almost imposible to view a full video without alt least 5-10 buffering cuts.
356,"the UI is ok but the UX is horrible. You can't swipe down videos to make them small but have to click the button which is tiny and often only reacts after 2-3 clicks for example. These things make the app feel very clunky. Also it's missing so many Features like comments, likes/dislikes, hiding creators you don't like etc. The price is way too high for what it currently offers."
357,Don't know bug or not but downloads don't show in download tab until it completes. Also app is generally pretty slow example between clicking and playing a video
358,"Love the content, and have never really had issues with watching videos, but the app itself is really difficult to use."
359,Great
360,"Great app! Easy to use, has picture-in-picture, and still plays when the screens off. Love the content and educational creators; not anywhere the price of a YouTube subscription! :D"
361,App needs autoplay feature so i can listen at work and not have to keep starting another video
362,"I would add several stars if you would fix one simple problem--the app refuses to operate in landscape mode after viewing the first video. There's no option to auto-rotate or force it into landscape, I either have to hold the tablet vertically or read sideways. Unacceptable given the current maturity of the app market and the fact that tablet have been around for more than a year or two now. Tablets are a thing. Auto-rotate is a thing. Work it out!"
363,Cannot use this app anymore. It used to be that it had problems switching between portrait and landscape after playing a video. Now it starts to a blank screen. I can't watch anything anymore. I haven't been able to use this app in weeks.
364,"The content is fantastic. 5 stars The app itself is awful. 1 star. All sorts of bugs. Most notably, when I switch to a different app, sometimes I get picture-in-picture. Sometimes the app just closes or partially closes. Plus the design is lacking. I can't even see a list of the creators I am following. It's a shame that the user experience of the app takes away from the excellent content."
365,Please fix the search button. Please add a comments sections. Show good recommendations based on the channels being followed. This is seriously glitchy. You have to close the app every half an hour and restart it.
366,"Mostly great, however the app rotate back and forth irregularly. Watching a video horizontally then back out of it, the app rotate to vertical position and stay so until I turn it off and on again. I use a tablet."
367,"Cool content, terrible tablet experience. The content on the platform is highly focused, and i only subscribe for a single creator. The app behaves in the most confounding manner on tablet though. Videos come up as postage stamps, orientation will flip multiple tkmes when launching, and other times loose orientation entirely or show jumbo thumbnails larger than the whole display."
368,Using pip crashes app. Add to watch later doesn't work. No history section to find last video watched following crashes. Very poor quality app.
369,Amazing content from interesting and knowledgeable creators. I couldn't ask for more!
370,The app look sleek enough but it's unfortunately rendered completely unusable by a barely functional backend. Please fix your servers.
371,Don't waste your money and time. You can't watch anything because nothing will load and they always have trouble connecting to the servers
372,"Overall Nebula is very good but not without its issues Pros: 1. Content is great. it's like they distilled everything I like about YouTube and moved it here with extra bonus content. history, tech, science, podcasts. Your milage may vary though. 2. Like the ability to download videos so I can watch them later. Cons: 1. The app is missing many sorely needed features. A subscriptions page, like/dislike, comments, 2. some of the features present are either buggy/hard to use like watch history"
373,"I really want to like this service and I still prefer it over youtube, but the app is bad. It just lacks so many basic QoL features: - no playlists (user- or creator-made), - no way to view watch history, - no convenient way to browse similar content, - no way to sort or filter videos (by creator, un/watched, run time, upload date...) Even browsing the list of creators I follow is a pain, as the cards for each creator are so large only two fit on screen at a time. The app is unstable to boot."
374,Borderline unusable.
375,I really wanted to like this app but with the lack of features and frequent bugs I don't know if I can recommend it. Casting only works about half the time so I frequently end up having ti connecting to my phone with and HTMI. Desktop version of the site works fine.
376,"Content is good, layout and navigation is bad. Should be more intuitive"
377,"I find most of the ""content creators"" exceedingly annoying and only subscribe to 3 or 4. TV version crashes when trying to view older videos from creators I like. Thr suggested or promoted or whatever stuff on the front page is very confusing about who or what it is, and there is way too much tl;dr news. Just give me my subs up front."
378,"Videos take several minutes to load every minute or so, absolutely unbearable. Might just cancel my subscription.."
379,"Despite what you'd think after seeing the ads, 95% of this content is on YouTube"
380,"I can't even sign up for it because it says ""authentication failed a user is already registered with that email address"" Have tried 5 emails now - including ones i just made up. Same message. Every time. 😒"
381,How do I cancel subscription? Terrible UI and janky af.
382,It's improved so much with the recent updates! So happy to watch my favorite creators without all the YT bs.
383,"App is pretty bare bones on Android TV. Where's my watch history (hard to resume a video I didn't finish), why is the top half of the screen wasted with what is usually empty space when browsing videos?"
384,Good App
385,Good app with some great content. The main think l thing that's missing for me is the ability to easily see my followed channels/creators in one page or list
386,"Trying to like it, but the app keeps signing me out or annoyingly crashing"
387,I don't know what everyone is complaining about. The app seems to be working great now.
388,"Yeah, it's great. It has lots of great content for education and entertainment"
389,"Fantastic content, horrible app. if I watch in the background it will randomly crash and it can't remember where I left off so it plays the same loop over and over. they seriously need to work on this app because I can't enjoy any of these videos with how it crashes so much"
390,Pay wall don't bother.
391,Crashes repeatedly
392,Extraordinary
393,"The app is just utter garbage. It has some nice functionalities, like picttre-in-picture and downloading videos, but it crashes for me almost anytime I am using it. It seems that transitioning from picture-in-picture in to the app makes it very unstable, which makes that app unusable to me. If this state continues I know I want pay for an additional month, because this is a *paid service*."
394,DODGY AF - AVOID!! They keep trying to take money out of my account for a subscription even though I cancelled it pretty much as soon as I could and fully closed my account. Now they don't recognise my email address but of course they still recognise my bank details! Plus they are impossible to get a hold of and never reply to emails.
395,"Jankiest video player ever, anything you want to do with the audio or video will crash the app. If you're listening to a podcast and want to find something else before it ends, it stops the podcast. Nebula also crashes from picking suggested videos, or just pauses it endlessly. If you download podcasts it only plays the podcast you selected instead of making a pseudo playlist for my convenience. Not to mention not a single creator puts content that will permanently be on Nebula, it's early atm"
396,I love it! Much more lais​sez-faire than YouTube. Has potential to replace it. Just add comments and it's ready to replace YouTube!
397,Not a great app. It doesn't log what you've watched and won't start where you left off watching.
398,"Controls are absolutely awful. There had to be exactly 0 testing days. Content is great though. Plays easily, doesn't skip, doesn't drain battery or data honestly."
399,"Slow, slow, slow buggy mess"
